optimizer,epoch,dataset,dimension,mean_pairwise_distance,std_pairwise_distance,stability_score,num_particles,mean_feature_count,std_feature_count,mean_lifetime,std_lifetime
spectralnorm,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
spectralnorm,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
spectralnorm,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
spectralnorm,0,validation_corrupt,H0,21.95489912790952,12.945729716117873,0.07170653815585162,20,126.95,0.21794494717703367,2.951542141831376,0.026610081891402
spectralnorm,0,validation_corrupt,H1,21.95489912790952,12.945729716117873,0.07170653815585162,20,73.3,12.740094191174569,0.06570128799614275,0.006750931236744513
spectralnorm,0,validation_corrupt,H2,21.95489912790952,12.945729716117873,0.07170653815585162,20,16.75,5.973901572674261,0.027084279378802117,0.004992729825217948
spectralnorm,30,validation,H0,72.72750915849105,41.30638151627351,0.023637095968969634,20,126.85,0.3570714214271425,558.0380910826641,40.56813039890075
spectralnorm,30,validation,H1,72.72750915849105,41.30638151627351,0.023637095968969634,20,43.25,6.283908019696023,49.98860322719199,7.737993748198484
spectralnorm,30,validation,H2,72.72750915849105,41.30638151627351,0.023637095968969634,20,6.2,2.039607805437114,17.401190390679343,7.6114355325931164
spectralnorm,30,validation_corrupt,H0,73.01163389276792,44.46035113140427,0.02199719041125475,20,126.75,0.5361902647381804,609.26069183197,43.076227619183264
spectralnorm,30,validation_corrupt,H1,73.01163389276792,44.46035113140427,0.02199719041125475,20,67.85,9.237288563209443,38.11969323694775,5.243645914295586
spectralnorm,30,validation_corrupt,H2,73.01163389276792,44.46035113140427,0.02199719041125475,20,15.7,5.478138369920935,14.914507336526256,3.9301540683346396
muon10p,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
muon10p,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
muon10p,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
muon10p,0,validation_corrupt,H0,17.318088073410387,8.602035027616516,0.1041445898836954,20,126.95,0.21794494717703367,2.9367251171863726,0.025085142916831563
muon10p,0,validation_corrupt,H1,17.318088073410387,8.602035027616516,0.1041445898836954,20,70.15,8.696407304168774,0.06605588268683046,0.0078563430478719
muon10p,0,validation_corrupt,H2,17.318088073410387,8.602035027616516,0.1041445898836954,20,16.75,5.898092912119985,0.027355664427355743,0.005220476797971735
muon10p,30,validation,H0,13.937381634672414,8.008195889274809,0.11101001935255467,20,127.0,0.0,47.30580556305914,0.8198560142838771
muon10p,30,validation,H1,13.937381634672414,8.008195889274809,0.11101001935255467,20,70.2,4.64327470649756,2.7717963279891826,0.20595817229615987
muon10p,30,validation,H2,13.937381634672414,8.008195889274809,0.11101001935255467,20,24.45,5.995623403783797,1.082090386221958,0.26222237250640346
muon10p,30,validation_corrupt,H0,27.375674457367936,16.071131144396237,0.05857842644060875,20,127.0,0.0,46.79302941767871,0.9880920909880605
muon10p,30,validation_corrupt,H1,27.375674457367936,16.071131144396237,0.05857842644060875,20,84.15,11.900735271402352,1.7322365733476626,0.1860089969412785
muon10p,30,validation_corrupt,H2,27.375674457367936,16.071131144396237,0.05857842644060875,20,22.75,10.148275715608046,0.7456753087515434,0.12558030563121855
muonspectralnorm,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
muonspectralnorm,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
muonspectralnorm,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
muonspectralnorm,0,validation_corrupt,H0,18.878406686905198,10.993025383535798,0.0833817963374625,20,127.0,0.0,2.931524388846241,0.020141842598785712
muonspectralnorm,0,validation_corrupt,H1,18.878406686905198,10.993025383535798,0.0833817963374625,20,70.4,8.765842800324451,0.06684058456806338,0.006944025090851391
muonspectralnorm,0,validation_corrupt,H2,18.878406686905198,10.993025383535798,0.0833817963374625,20,16.85,7.15733889095661,0.028563240735376742,0.008623340796607308
muonspectralnorm,30,validation,H0,12.798183044991669,6.585895642533148,0.13182359040020636,20,127.0,0.0,5.033654505112257,0.04889660295857489
muonspectralnorm,30,validation,H1,12.798183044991669,6.585895642533148,0.13182359040020636,20,79.95,5.132981589680602,0.3174668164970581,0.02101185625408644
muonspectralnorm,30,validation,H2,12.798183044991669,6.585895642533148,0.13182359040020636,20,40.05,5.774729430891114,0.13002549892355916,0.017486296959543356
muonspectralnorm,30,validation_corrupt,H0,20.198748426666917,10.605649750884824,0.0861649301387679,20,127.0,0.0,5.433955319844306,0.05057506077314713
muonspectralnorm,30,validation_corrupt,H1,20.198748426666917,10.605649750884824,0.0861649301387679,20,90.0,8.384509526501834,0.1975727781510476,0.01868226059849088
muonspectralnorm,30,validation_corrupt,H2,20.198748426666917,10.605649750884824,0.0861649301387679,20,33.95,8.806105836293362,0.08458969247974125,0.014414588044718239
adam,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
adam,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
adam,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
adam,0,validation_corrupt,H0,26.488783071196643,17.875572255758303,0.05297852623752552,20,127.0,0.0,2.949955481781697,0.022809062228769807
adam,0,validation_corrupt,H1,26.488783071196643,17.875572255758303,0.05297852623752552,20,72.65,12.83851626941369,0.06775129703919049,0.008698005534065446
adam,0,validation_corrupt,H2,26.488783071196643,17.875572255758303,0.05297852623752552,20,18.9,9.893937537704593,0.029483796457127575,0.007819246257062628
adam,30,validation,H0,44.87813218989167,22.591546505547218,0.04238806471482758,20,127.0,0.0,290.2410283113751,23.613851056671965
adam,30,validation,H1,44.87813218989167,22.591546505547218,0.04238806471482758,20,43.05,5.191098149717456,28.263303019081217,3.5206545799651705
adam,30,validation,H2,44.87813218989167,22.591546505547218,0.04238806471482758,20,6.5,2.3345235059857505,10.714587100805229,3.6667913798126293
adam,30,validation_corrupt,H0,49.166593575440686,21.589974007674208,0.044267425879298605,20,126.9,0.43588989435406733,304.2665143444217,25.321032162496007
adam,30,validation_corrupt,H1,49.166593575440686,21.589974007674208,0.044267425879298605,20,68.45,7.290233192429444,20.821467044968948,2.864278882478346
adam,30,validation_corrupt,H2,49.166593575440686,21.589974007674208,0.044267425879298605,20,15.35,3.8636122993903,7.8608596449529475,2.036989233343595
10p,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
10p,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
10p,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
10p,0,validation_corrupt,H0,27.046655476841913,16.797109512872648,0.05618889962309329,20,126.95,0.21794494717703367,2.946284925380697,0.0189960449001118
10p,0,validation_corrupt,H1,27.046655476841913,16.797109512872648,0.05618889962309329,20,70.0,14.512063946937388,0.06511630759991724,0.007004419544662303
10p,0,validation_corrupt,H2,27.046655476841913,16.797109512872648,0.05618889962309329,20,16.55,8.065203035262037,0.029836758516733973,0.009004049644153418
10p,30,validation,H0,72.72750915849105,41.30638151627351,0.023637095968969634,20,126.85,0.3570714214271425,558.0380910826641,40.56813039890075
10p,30,validation,H1,72.72750915849105,41.30638151627351,0.023637095968969634,20,43.25,6.283908019696023,49.98860322719199,7.737993748198484
10p,30,validation,H2,72.72750915849105,41.30638151627351,0.023637095968969634,20,6.2,2.039607805437114,17.401190390679343,7.6114355325931164
10p,30,validation_corrupt,H0,74.34583932205676,44.49678382787304,0.021979575606558863,20,126.9,0.30000000000000004,617.4268710424592,43.75281816437024
10p,30,validation_corrupt,H1,74.34583932205676,44.49678382787304,0.021979575606558863,20,65.5,7.385797181076664,39.10758648447964,4.760968249635706
10p,30,validation_corrupt,H2,74.34583932205676,44.49678382787304,0.021979575606558863,20,13.55,5.258089006473741,16.25293580625735,4.64271813221026
adamw,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
adamw,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
adamw,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
adamw,0,validation_corrupt,H0,26.37487042080417,16.170911426746834,0.058238026808659506,20,126.85,0.3570714214271425,2.935580566352211,0.016946932211139586
adamw,0,validation_corrupt,H1,26.37487042080417,16.170911426746834,0.058238026808659506,20,74.45,13.109061751323015,0.06652947156907797,0.005851520500048687
adamw,0,validation_corrupt,H2,26.37487042080417,16.170911426746834,0.058238026808659506,20,18.05,9.308463890460123,0.025275238167135894,0.005657155071582579
adamw,30,validation,H0,72.72750915849105,41.30638151627351,0.023637095968969634,20,126.85,0.3570714214271425,558.0380910826641,40.56813039890075
adamw,30,validation,H1,72.72750915849105,41.30638151627351,0.023637095968969634,20,43.25,6.283908019696023,49.98860322719199,7.737993748198484
adamw,30,validation,H2,72.72750915849105,41.30638151627351,0.023637095968969634,20,6.2,2.039607805437114,17.401190390679343,7.6114355325931164
adamw,30,validation_corrupt,H0,69.95727062096694,38.93025569944642,0.02504366632477797,20,126.95,0.21794494717703367,615.6748850901856,43.023876776137534
adamw,30,validation_corrupt,H1,69.95727062096694,38.93025569944642,0.02504366632477797,20,63.95,4.758938957372746,40.00813940219033,4.449919565512016
adamw,30,validation_corrupt,H2,69.95727062096694,38.93025569944642,0.02504366632477797,20,14.45,4.2482349275905165,15.737765616900845,3.2840688866793086
muon,0,validation,H0,0.0,0.0,1.0,20,127.0,0.0,2.5884888217500164,8.881784197001252e-16
muon,0,validation,H1,0.0,0.0,1.0,20,81.0,0.0,0.13054410849683512,0.0
muon,0,validation,H2,0.0,0.0,1.0,20,34.0,0.0,0.04386166328935926,0.0
muon,0,validation_corrupt,H0,20.42901628367718,11.765943436308163,0.07833341930341454,20,127.0,0.0,2.9449531039716437,0.017018536855436688
muon,0,validation_corrupt,H1,20.42901628367718,11.765943436308163,0.07833341930341454,20,74.5,10.95216873500404,0.06553912159686816,0.006800038025084094
muon,0,validation_corrupt,H2,20.42901628367718,11.765943436308163,0.07833341930341454,20,19.15,6.263186090162099,0.030560051239836995,0.005214443182595061
muon,30,validation,H0,23.23441138147752,8.470252563768385,0.10559380473397659,20,127.0,0.0,420.6527560404992,6.348280471066959
muon,30,validation,H1,23.23441138147752,8.470252563768385,0.10559380473397659,20,48.1,5.3,18.567282201210414,1.88535589842342
muon,30,validation,H2,23.23441138147752,8.470252563768385,0.10559380473397659,20,6.7,2.7404379212089442,7.876128936314612,3.6231570990548128
muon,30,validation_corrupt,H0,31.634433326333255,11.75539345780682,0.07839820882890597,20,127.0,0.0,479.2514502698517,8.55873260946637
muon,30,validation_corrupt,H1,31.634433326333255,11.75539345780682,0.07839820882890597,20,63.25,8.073877630977572,16.44548693735286,2.0461778360266627
muon,30,validation_corrupt,H2,31.634433326333255,11.75539345780682,0.07839820882890597,20,12.8,5.6267219586540795,6.9877848576629145,2.4998812134313004
